galGal	galGal	galGal
anaPla	anaPla	anaPla
aptFor	aptFor	aptFor
aptHaa	aptHaa	aptHaa
aptOwe	aptOwe	aptOwe
aptRow	aptRow	aptRow
balReg	balReg	balReg
calAnn	calAnn	calAnn
casCas	casCas	casCas
chaPel	chaPel	chaPel
chaVoc	chaVoc	chaVoc
colLiv	colLiv	colLiv
corBra	corBra	corBra
cryCin	cryCin	cryCin
cucCan	cucCan	cucCan
droNov	droNov	droNov
eudEle	eudEle	eudEle
falPer	falPer	falPer
ficAlb	ficAlb	ficAlb
fulGla	fulGla	fulGla
halLeu	halLeu	halLeu
lepDis	lepDis	lepDis
melGal	melGal	melGal
melUnd	melUnd	melUnd
mesUni	mesUni	mesUni
nipNip	nipNip	nipNip
notPer	notPer	notPer
picPub	picPub	picPub
pseHum	pseHum	pseHum
pygAde	pygAde	pygAde
rheAme	rheAme	rheAme
rhePen	rhePen	rhePen
strCam	strCam	strCam
taeGut	taeGut	taeGut
tinGut	tinGut	tinGut
